,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,AVG NUMBER OF WORDS PER SENTENCE,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
84,blackassign0087,,0.105,0.072,0.9897,1.001,23.347826086956523,23.347826086956523,1074,1.541899441340782,7,5.138733705772812
85,blackassign0088,,0.067,0.074,-0.7777,0.9999999999999999,22.756410256410255,22.756410256410255,1775,1.704225352112676,1,5.463661971830986
86,blackassign0089,,0.09,0.11,-0.9748,1.0010000000000001,17.321428571428573,17.321428571428573,970,1.592783505154639,4,5.181443298969072
87,blackassign0090,,0.128,0.109,0.9412,1.0,16.767123287671232,16.767123287671232,1224,1.5073529411764706,45,4.925653594771242
88,blackassign0091,,0.117,0.062,0.9969,1.0,26.951219512195124,26.951219512195124,1105,1.6009049773755657,15,5.05158371040724
89,blackassign0092,,0.087,0.12,-0.9937,1.0,17.76388888888889,17.76388888888889,1279,1.6254886630179828,4,5.412822517591868
90,blackassign0093,,0.114,0.014,0.9739,1.0,19.3,19.3,193,1.3937823834196892,3,4.652849740932642
91,blackassign0094,,0.109,0.131,-0.9895,1.0,17.484848484848484,17.484848484848484,1154,1.5086655112651646,24,4.9306759098786825
92,blackassign0095,,0.075,0.098,-0.9325,0.9999999999999999,16.657894736842106,16.657894736842106,633,1.5671406003159558,7,5.2496050552922595
93,blackassign0096,,0.074,0.15,-0.9986,1.0,21.673076923076923,21.673076923076923,1127,1.6734693877551021,3,5.368234250221827
94,blackassign0097,,0.097,0.096,-0.3939,1.0,27.871794871794872,27.871794871794872,1087,1.500459981600736,13,4.840846366145354
95,blackassign0098,,0.098,0.019,0.98,1.0,16.291666666666668,16.291666666666668,391,1.7672634271099745,1,5.810741687979539
96,blackassign0099,,0.138,0.033,0.9952,1.0,17.11111111111111,17.11111111111111,616,1.4805194805194806,5,4.883116883116883
97,blackassign0100,,0.089,0.134,-0.9964,1.0,29.771428571428572,29.771428571428572,1042,1.6727447216890594,5,5.492322456813819
